age,annual_income,total_debt,dependents,savings,credit_score,credit_utilization,missed_payments,employment_length,loan_amount,loan_term_months,defaulted
57,23485,22416,2,1924,548,0.64,3,2,11528,36,1
62,40464,33388,1,19294,610,0.55,4,10,20772,24,1
62,13351,7475,4,3048,742,0.37,3,7,5942,36,0
50,20600,26675,0,8794,520,0.86,6,23,10975,24,1
47,44904,13460,2,5825,722,0.2,1,10,7978,48,0
21,18750,15009,0,11093,658,0.53,4,18,7151,60,0
43,27184,3161,1,6918,850,0.08,2,0,4642,60,0
55,29985,15766,0,14639,647,0.35,2,15,12132,36,0
33,36035,34762,1,4595,612,0.64,4,18,14832,24,1
27,26614,26943,3,8642,581,0.67,5,12,3986,48,1
61,24442,7380,0,4081,739,0.2,1,12,12355,36,0
55,50996,60527,2,25998,518,0.79,4,22,24889,12,1
63,37923,20468,0,3755,730,0.36,5,11,18549,60,0
50,17821,9780,3,6818,745,0.37,3,21,7855,48,0
59,21857,8201,3,6402,740,0.25,2,20,11721,60,0
63,50936,25922,1,2903,704,0.34,3,11,19805,12,0
38,36109,22728,2,21123,731,0.42,3,12,11992,12,0
26,21627,19143,1,3103,592,0.59,6,4,3726,60,1
36,41229,29639,4,9501,661,0.48,3,1,9168,36,1
33,13503,8657,1,3771,743,0.43,3,17,1865,36,0
62,45446,43074,4,26287,597,0.63,5,20,5668,12,1
61,21532,9124,0,4555,684,0.28,2,10,10971,12,0
49,23228,7474,0,3035,716,0.21,1,17,12363,36,0
58,41388,53706,2,24601,524,0.87,5,16,17916,36,1
30,16743,12718,1,3852,625,0.51,4,8,4416,60,1
44,21766,9435,4,8780,792,0.29,1,18,11984,12,0
42,44205,37480,0,4477,659,0.57,3,4,11072,12,0
25,24926,13981,1,7174,740,0.37,3,20,14698,12,0
48,29378,35742,2,5263,529,0.81,4,1,15765,24,1
33,19875,3758,1,10128,821,0.13,1,5,10624,60,0
62,20220,4732,3,10603,836,0.16,2,24,8961,48,0
32,16836,10913,0,10079,700,0.43,2,4,4726,48,0
27,20154,20790,2,4578,579,0.69,4,4,9119,48,1
54,36873,10879,4,15848,749,0.2,1,16,10350,36,0
42,20540,3860,4,8073,807,0.13,0,19,10634,36,0
42,14177,1514,4,4435,829,0.07,1,17,6549,36,0
51,18882,3038,4,8197,794,0.11,0,16,2449,48,0
64,31599,3573,3,5018,798,0.08,0,23,11741,48,0
49,48046,44172,4,18289,596,0.61,4,19,28533,48,1
33,31154,18812,2,13180,665,0.4,2,18,13760,60,0
33,20065,14344,3,4469,707,0.48,2,3,10701,36,0
57,16979,21492,2,9068,553,0.84,5,8,2154,48,1
28,10637,11034,3,602,611,0.69,7,21,6256,24,1
42,40249,41037,3,5700,585,0.68,7,17,22659,60,1
62,21072,10649,4,3319,673,0.34,3,5,12634,36,0
59,20490,10614,0,11952,714,0.35,2,12,12204,36,0
36,45302,55736,2,7611,536,0.82,5,16,24352,24,1
64,21457,19325,0,7155,635,0.6,4,0,3815,36,1
39,60463,44015,3,22978,632,0.49,3,6,23976,24,1
49,29174,6242,1,2639,767,0.14,0,2,16865,12,0
37,29477,15678,0,5277,751,0.35,2,1,14890,48,0
26,22080,13277,2,5192,683,0.4,2,2,4343,12,0
56,21394,7844,3,11404,736,0.24,2,6,10326,36,0
34,20537,4650,3,8710,804,0.15,2,13,7914,36,0
53,17876,2716,3,6566,842,0.1,2,12,7371,12,0
44,33043,19239,0,11635,671,0.39,2,5,9858,12,0
52,27422,29768,0,14961,566,0.72,4,16,5031,36,1
54,26641,14048,1,11946,788,0.35,3,0,12811,48,0
61,33841,14552,2,15395,709,0.29,1,10,5135,48,0
48,21938,27170,1,4949,511,0.83,5,13,8305,36,1
35,38753,25464,2,15380,648,0.44,7,21,19631,36,1
62,12926,12820,1,3032,563,0.66,6,23,6642,12,1
63,25820,24261,1,11988,542,0.63,6,18,15274,12,1
53,34875,24752,4,8841,696,0.47,4,24,5494,48,0
55,15829,9861,1,2665,788,0.42,2,21,5007,12,0
52,25392,5352,2,4717,706,0.14,2,15,12235,48,0
59,27101,7125,1,8925,767,0.18,6,19,9632,24,0
39,33205,26150,2,18263,588,0.53,6,23,8873,36,1
30,17772,15026,1,6114,616,0.56,4,7,8199,24,1
30,20201,3580,1,6911,735,0.12,2,12,9490,12,0
34,12739,15524,0,6572,562,0.81,4,4,3447,12,1
42,29497,35374,0,12106,492,0.8,6,17,13150,24,1
64,9045,9686,1,2243,532,0.71,4,23,3698,48,1
22,40896,22507,1,20766,791,0.37,2,5,5608,24,0
52,17895,14260,2,3994,652,0.53,5,16,2999,36,1
35,8986,10263,2,633,539,0.76,7,15,4412,12,1
37,28173,10560,4,6464,708,0.25,1,14,14690,36,0
46,18966,12188,0,4179,592,0.43,2,24,9519,48,0
54,48899,38420,3,25761,620,0.52,3,24,27869,48,1
42,22258,13587,0,4758,692,0.41,3,18,3817,60,0
40,35488,36028,4,7629,610,0.68,5,5,20163,12,1
39,23645,10906,3,12195,737,0.31,5,20,5470,12,0
21,26504,30741,1,2664,535,0.77,6,4,5043,36,1
34,31102,37083,2,8837,505,0.79,5,19,14661,48,1
31,41040,20364,0,16959,686,0.33,2,2,22474,36,0
48,22341,27152,0,7282,489,0.81,5,17,7820,60,1
49,34406,23189,2,6073,692,0.45,4,7,12938,60,0
29,15589,6268,4,7699,754,0.27,1,1,2768,48,0
54,22670,10274,3,1897,773,0.3,1,2,8817,60,0
57,36307,18509,2,17670,719,0.34,5,21,6928,36,0
46,19465,16998,2,8843,604,0.58,3,14,4305,36,1
63,7344,5468,4,855,671,0.5,2,17,3242,48,0
49,29262,17553,2,14905,647,0.4,6,0,10390,48,1
28,48617,12047,0,24161,850,0.17,2,0,19132,12,0
36,9789,3847,0,2325,751,0.26,2,4,1303,36,0
21,41923,32626,0,2452,680,0.52,3,15,12135,12,0
39,30153,5250,4,15443,832,0.12,0,0,13031,60,0
60,42436,9377,0,20319,732,0.15,1,10,6930,12,0
21,33501,18465,4,15953,780,0.37,5,23,15425,48,0
30,69376,51643,0,31798,652,0.5,4,11,13678,36,0
55,16053,1706,4,1815,824,0.07,0,17,9360,48,0
64,23518,10431,2,5192,804,0.3,1,20,4817,60,0
26,17374,22072,0,1810,491,0.85,5,18,4168,60,1
42,24379,7173,4,13314,742,0.2,1,24,12958,36,0
37,35367,20403,0,10660,759,0.38,3,8,15079,12,0
62,34476,9696,3,6234,786,0.19,2,18,6334,36,0
32,8375,9573,1,3805,553,0.76,7,20,2584,24,1
63,26104,12827,2,3939,681,0.33,5,12,5970,36,0
53,60259,58935,1,22899,516,0.65,5,20,25638,36,1
61,18121,21953,4,10411,521,0.81,5,12,10190,36,1
57,19542,14064,0,2057,660,0.48,4,16,8457,48,0
26,40818,17792,0,17798,741,0.29,4,18,4662,36,0
49,18321,4211,2,8000,808,0.15,1,2,5685,12,0
64,21517,9534,2,4452,755,0.3,1,9,6882,24,0
50,28070,14838,3,4734,698,0.35,2,12,11518,24,0
63,17543,3985,2,9808,850,0.15,3,23,8403,60,0
52,21915,19243,2,2255,577,0.59,4,2,7252,12,1
28,23875,25658,1,11125,595,0.72,5,4,12309,60,1
49,23171,18772,2,4339,662,0.54,4,24,10378,36,1
35,30169,14358,0,6182,720,0.32,2,16,6303,48,0
34,34283,24961,3,14509,597,0.49,2,9,13464,60,1
40,18757,3153,4,7894,790,0.11,0,8,10767,24,0
62,41181,11967,3,6965,769,0.19,4,2,6580,24,0
34,33475,38961,1,3483,543,0.78,6,13,3488,24,1
45,63109,77414,1,25916,534,0.82,6,4,17748,60,1
24,9783,4495,0,1325,699,0.31,1,24,2403,12,0
28,29437,29300,4,9575,610,0.66,4,11,8364,12,1
63,14750,13329,0,1002,616,0.6,3,12,7966,12,1
53,17654,4193,1,6471,823,0.16,0,1,3264,36,0
54,26745,34367,2,9768,538,0.86,7,11,7332,48,1
32,59735,10319,0,7206,802,0.12,4,19,13822,12,0
48,21272,24013,1,2974,582,0.75,5,12,7835,12,1
25,15272,15978,4,834,611,0.7,4,14,1541,36,1
59,19673,5467,1,5562,819,0.19,2,24,10562,12,0
52,26945,7489,4,1974,771,0.19,1,2,4437,36,0
51,36737,23743,3,7998,783,0.43,5,1,6647,60,0
35,20307,16209,3,3122,633,0.53,3,18,5649,36,1
64,21035,17598,2,4333,644,0.56,3,17,8855,24,0
33,27001,33375,3,13169,494,0.82,5,15,5556,24,1
37,18987,15555,4,5930,542,0.55,4,1,8229,24,1
47,33634,11228,1,9161,707,0.22,2,23,17680,36,0
53,24284,30832,0,5072,500,0.85,6,17,4558,12,1
64,32696,10823,0,1685,712,0.22,3,2,11635,60,0
54,24652,18222,4,9730,649,0.49,3,17,10801,60,0
29,55341,8725,2,11080,830,0.11,0,24,21555,36,0
51,53977,26467,1,10742,624,0.33,2,19,15006,12,0
54,27180,13792,2,13758,690,0.34,3,5,3904,24,0
36,14301,7415,0,1767,696,0.35,2,10,7749,12,0
43,29778,9756,1,8172,796,0.22,2,10,12868,12,0
55,12513,7662,3,7464,734,0.41,4,2,4050,60,0
33,37590,43124,1,19983,512,0.76,4,13,21226,36,1
25,18718,4783,2,9009,784,0.17,1,2,2810,12,0
41,14107,15826,4,6923,527,0.75,4,15,7171,60,1
64,48239,20599,2,22393,686,0.28,2,8,19673,60,0
39,25345,16433,0,6461,641,0.43,2,4,13449,48,0
42,37889,48833,2,15101,454,0.86,5,5,11852,60,1
43,19668,13852,2,1190,725,0.47,2,7,2029,36,0
39,29638,24156,2,3252,595,0.54,4,8,4744,60,1
26,20419,2089,2,1454,850,0.07,1,24,3206,48,0
60,11307,9399,0,2523,575,0.55,4,0,3560,60,1
26,16819,16590,3,6174,589,0.66,3,9,9642,12,1
26,23042,8203,1,8895,738,0.24,1,10,9339,60,0
27,78796,44292,3,42538,692,0.37,2,3,30166,36,0
52,37958,27080,3,8480,675,0.48,5,19,4531,60,1
50,22525,25559,4,2596,606,0.76,5,23,6425,36,1
37,22073,6590,4,3981,764,0.2,4,5,10304,24,0
63,22686,11516,0,10022,700,0.34,4,15,11363,60,0
25,48277,22798,4,6468,723,0.31,2,7,14721,48,0
59,18867,13284,1,4117,695,0.47,2,16,10595,60,0
34,28807,20894,2,2211,611,0.48,2,24,17167,36,0
23,16927,8265,4,9499,675,0.33,1,5,2478,36,0
33,28073,16827,2,14690,667,0.4,6,14,10419,36,1
45,34577,5595,2,7042,752,0.11,1,5,19241,12,0
48,32418,21677,4,15893,601,0.45,3,10,16181,60,0
37,39647,31750,3,6932,657,0.53,5,21,7986,60,1
26,23952,8149,2,7302,801,0.23,1,24,9406,60,0
61,47231,35239,4,3862,696,0.5,4,17,27323,24,1
50,31081,22082,0,4893,673,0.47,3,22,14466,12,0
30,43795,25352,4,21420,629,0.39,2,13,17957,48,0
60,33142,20369,4,4418,693,0.41,4,1,14602,12,0
35,28641,23718,2,17126,594,0.55,4,23,4407,48,1
27,46437,56357,2,21574,497,0.81,6,3,23838,48,1
23,7265,2212,0,1577,814,0.2,5,24,770,60,0
58,10367,7090,4,2989,658,0.46,2,13,5018,60,0
43,19937,8983,2,1557,695,0.3,3,17,7649,48,0
30,14501,14516,0,3537,625,0.67,4,8,2511,36,1
56,36332,21095,0,8239,728,0.39,2,7,13767,36,0
36,15533,2475,3,1987,823,0.11,2,6,5064,36,0
41,24692,7799,2,13706,745,0.21,3,13,14284,60,0
53,17444,20027,2,3009,585,0.77,4,19,9533,36,1
56,55022,25678,2,15815,715,0.31,1,2,31454,60,0
42,33011,30928,3,11561,557,0.62,3,1,9098,24,1
27,21548,16392,0,2930,609,0.51,4,0,6746,24,1
41,47358,18082,1,3453,729,0.25,1,11,26716,48,0
21,26066,11020,0,4318,709,0.28,2,8,7621,36,0
41,25351,9326,4,7875,728,0.25,1,2,10334,36,0
54,32422,15148,0,9023,753,0.31,1,0,17653,48,0
42,40148,20671,3,18136,619,0.34,2,2,4203,36,0
23,19279,8282,3,8410,779,0.29,3,15,7474,24,0
32,21179,22381,3,8871,624,0.7,5,15,12492,60,1
32,17856,9635,2,1390,742,0.36,2,5,2454,60,0
57,13400,10464,0,6497,619,0.52,3,12,7995,12,1
29,47386,16322,1,19491,789,0.23,2,22,9171,48,0
64,26417,28756,3,3683,511,0.73,6,14,15248,48,1
28,41619,9172,4,24354,840,0.15,0,19,22008,24,0
28,23744,16560,0,6128,671,0.46,3,17,11339,24,0
42,32421,20526,3,4188,635,0.42,4,4,13028,24,1
40,20764,8118,2,5073,703,0.26,2,3,3768,36,0
60,22728,9809,2,7348,713,0.29,4,0,10691,60,0
43,21193,11630,2,10352,657,0.37,3,18,9063,24,0
56,42223,16491,4,8318,713,0.26,3,20,8523,36,0
38,21267,11889,0,8191,666,0.37,2,19,10752,12,0
54,27631,24920,3,6370,600,0.6,5,12,9951,48,1
29,20328,9647,1,9086,700,0.32,1,22,7392,36,0
36,30287,26662,0,11940,593,0.59,5,19,13810,24,1
31,17684,20535,3,3343,512,0.77,6,12,2348,48,1
39,64236,59115,2,11838,647,0.61,4,1,34583,48,1
48,16691,20108,3,5770,516,0.8,7,7,5011,60,1
38,32200,20075,1,10419,688,0.42,2,13,10712,48,0
47,32651,25559,4,2028,634,0.52,3,6,7555,36,1
60,32477,36807,1,18310,604,0.76,5,20,14986,24,1
21,53892,67299,3,16011,518,0.83,4,9,30968,48,1
29,26172,22487,1,7046,605,0.57,3,10,9851,36,1
34,16936,7829,2,3121,768,0.31,1,18,9304,12,0
45,23617,10407,3,5554,794,0.29,1,4,4767,12,0
33,29608,25152,2,11142,661,0.57,4,20,8774,48,1
55,40267,32194,2,14235,616,0.53,5,4,16021,24,1
24,18813,7272,3,6207,850,0.26,3,12,9853,24,0
53,26583,19009,4,9405,666,0.48,3,3,7928,36,1
47,29415,29925,3,8571,599,0.68,4,3,14413,36,1
38,22843,27626,1,9465,576,0.81,7,10,8517,48,1
32,37887,40082,3,13488,604,0.71,5,22,4560,36,1
22,33601,7891,0,8471,761,0.16,0,3,3696,60,0
58,23064,16676,2,4934,641,0.48,4,11,11645,24,1
58,31938,17931,3,18291,714,0.37,2,1,5829,24,0
30,30636,13316,2,15595,734,0.29,1,2,3327,12,0
48,42947,51892,1,9812,568,0.81,4,24,9048,24,1
40,26698,23791,4,9047,589,0.59,5,9,9120,24,1
64,25783,32867,1,11390,548,0.85,6,20,11161,36,1
41,26040,14123,4,2335,736,0.36,4,20,9071,24,0
23,47440,39093,1,24322,605,0.55,5,6,19915,24,1
29,46195,45495,0,21012,617,0.66,3,18,8797,48,1
41,14368,13991,3,3229,530,0.65,3,8,5940,24,1
31,14212,13809,3,8444,651,0.65,4,11,4817,24,1
53,22332,16018,2,3895,692,0.48,2,4,4470,36,0
23,48213,46413,1,18818,531,0.64,3,19,27014,12,1
43,34470,18130,1,5647,785,0.35,4,22,19002,12,0
24,15802,10466,3,2953,684,0.44,3,0,2293,48,0
62,31105,39912,2,10573,518,0.86,7,3,14017,60,1
49,44064,8847,4,11867,798,0.13,2,14,9455,24,0
36,53489,19693,4,29832,771,0.25,2,16,7722,48,0
59,30656,9467,3,7114,738,0.21,2,9,15020,24,0
30,32286,29918,0,15344,550,0.62,5,3,10433,12,1
62,20548,2502,1,9446,816,0.08,1,3,3615,24,0
62,11451,5347,1,4794,686,0.31,1,0,2191,48,0
57,19993,15439,1,3483,608,0.51,5,18,9760,24,1
61,15772,11609,1,844,668,0.49,2,7,2860,24,0
33,33128,30398,4,2280,636,0.61,3,12,17082,24,1
55,13712,12603,4,7406,611,0.61,3,3,6666,36,1
57,58889,7679,1,7486,849,0.09,2,4,31970,60,0
43,22307,13897,2,6687,626,0.42,4,16,6547,12,0
26,40759,30245,3,4394,714,0.49,2,13,23261,60,0
36,53213,29373,4,9419,676,0.37,4,3,8921,36,0
24,34861,8710,2,16322,798,0.17,0,0,19728,36,0
58,18745,11516,3,2844,685,0.41,3,4,7556,48,0
43,42849,27829,4,11350,567,0.43,2,9,24273,24,0
35,22928,19941,0,6112,654,0.58,3,2,13493,48,0
57,7969,9949,2,3588,559,0.83,5,4,1126,60,1
40,39110,19765,2,15318,664,0.34,3,16,13672,36,0
58,17267,11216,1,6119,653,0.43,3,1,10059,24,1
44,34021,11474,3,11552,743,0.22,2,18,17549,12,0
26,42814,51681,2,6807,519,0.8,4,10,18624,12,1
45,17151,20585,4,5610,538,0.8,5,21,2035,60,1
32,22675,6099,2,9668,816,0.18,1,6,2930,12,0
47,33925,33866,4,19468,566,0.67,3,20,11178,36,1
55,19401,20108,2,10463,660,0.69,4,14,9988,24,1
37,15675,19314,4,6046,493,0.82,4,0,4048,12,1
62,32000,3389,2,12903,780,0.07,0,11,12796,24,0
40,28134,26447,2,8197,545,0.63,4,4,7442,36,1
55,18363,21812,2,2840,532,0.79,4,1,2978,24,1
31,25653,3801,3,14297,824,0.1,1,19,4728,36,0
25,38350,41532,1,10411,541,0.72,4,16,20839,12,1
24,17502,7681,1,8209,664,0.29,1,15,3084,60,0
25,36813,24623,4,12110,612,0.45,5,23,3805,48,1
61,23533,18674,3,7140,730,0.53,5,1,3793,48,1
28,17861,5805,2,3969,750,0.22,2,10,2824,24,0
63,15217,15771,3,9001,559,0.69,4,17,3812,12,1
23,34134,12861,0,16309,797,0.25,4,8,11151,60,0
60,51978,6968,2,24815,820,0.09,0,5,19691,48,0
31,40671,17075,2,17152,775,0.28,3,21,9265,48,0
29,20549,19414,4,6143,646,0.63,3,18,9322,48,1
50,29138,19808,3,15195,662,0.45,2,21,10478,24,0
25,20350,11675,0,3410,758,0.38,5,10,2808,12,0
21,22603,15328,1,8007,685,0.45,2,4,3470,24,0
44,25367,9698,1,5760,744,0.25,1,24,3819,24,0
41,50165,24232,3,6286,774,0.32,2,24,29489,12,0
50,20684,3186,0,2262,804,0.1,0,11,11409,48,0
52,46745,58384,4,5792,536,0.83,4,10,14020,24,1
63,16326,2618,3,2408,754,0.11,0,20,5103,60,0
43,17153,2256,3,1330,850,0.09,0,24,3827,12,0
51,21555,5143,3,1173,775,0.16,1,23,12758,36,0
21,18013,2456,1,2287,850,0.09,1,9,10419,12,0
55,20016,19145,4,4782,548,0.64,4,9,11200,48,1
41,24840,18591,3,11505,709,0.5,5,14,3684,36,1
36,28111,8886,0,14895,835,0.21,1,14,13159,48,0
41,30776,38564,3,11504,580,0.84,7,15,11411,36,1
38,22385,24675,0,12915,580,0.73,6,17,7825,48,1
31,42352,20479,3,12589,744,0.32,2,12,7444,48,0
21,45881,13707,0,13146,778,0.2,2,21,21000,36,0
21,29642,10032,1,14103,697,0.23,1,6,8379,60,0
55,32840,19989,1,2865,611,0.41,3,8,15127,24,0
56,15026,2224,0,5371,850,0.1,1,17,8434,24,0
49,16562,17569,2,7508,575,0.71,5,19,2218,12,1
62,40708,12081,0,18396,677,0.2,2,18,22541,48,0
56,12313,5150,1,812,733,0.28,2,24,2932,48,0
42,35528,25696,1,10104,640,0.48,3,7,14685,24,0
59,47992,20403,1,10856,786,0.28,1,7,22328,48,0
45,46338,5787,4,17502,824,0.08,2,6,24234,24,0
43,27709,31449,3,8904,558,0.76,5,10,11883,60,1
44,13215,6035,4,1970,607,0.3,1,4,4342,36,0
49,37422,42778,4,9606,479,0.76,6,3,19265,36,1
32,48227,16339,1,21522,751,0.23,2,12,9009,12,0
32,18898,13579,4,1043,712,0.48,3,4,2371,24,0
43,24110,16014,4,6367,664,0.44,2,14,12137,36,0
49,24870,25768,3,12912,571,0.69,4,17,11905,48,1
57,45900,39211,1,8992,715,0.57,6,22,17741,24,0
23,37437,48463,2,6506,476,0.86,6,5,16847,60,1
50,18809,16901,0,6178,685,0.6,3,4,8774,48,1
60,10930,5954,0,1533,694,0.36,3,21,3659,48,0
62,10400,6360,2,812,664,0.41,4,7,4486,48,0
63,17312,16457,2,10139,620,0.63,3,23,6754,12,1
29,34168,34510,2,5471,541,0.67,7,15,19320,48,1
59,10767,12017,4,2347,589,0.74,5,16,2327,36,1
47,13643,16109,4,3967,508,0.79,4,10,7569,60,1
38,30462,16909,4,3278,684,0.37,3,3,10888,24,0
37,30724,35444,0,10998,547,0.77,6,14,17627,60,1
28,44774,22597,2,25910,716,0.34,3,13,15203,60,0
25,29229,24754,4,14354,625,0.56,3,16,15322,24,1
24,21704,10946,0,6887,772,0.34,2,18,10118,24,0
44,19614,2476,3,1656,785,0.08,2,19,5293,24,0
49,17067,20632,3,7029,492,0.81,7,22,5178,12,1
57,16512,12986,4,6617,633,0.52,5,23,2561,36,1
52,12136,13869,3,4487,603,0.76,5,9,3550,48,1
61,51602,12570,2,4832,734,0.16,0,9,10921,36,0
42,45839,24510,4,16749,726,0.36,3,1,14488,36,0
21,58634,48304,1,29258,606,0.55,3,23,32809,24,1
49,28369,28824,0,15989,596,0.68,5,8,6445,24,1
28,21839,26075,0,5933,593,0.8,4,1,5669,60,1
64,27745,18987,3,14643,717,0.46,4,5,16603,36,0
47,41905,39878,1,22173,582,0.63,6,23,11853,24,1
26,38413,27217,3,8700,699,0.47,2,0,6164,12,0
